Name,Matches,Innings,Not_outs,Runs,Highest_score,Average,Balls_faced,Strike_rate,Hundreds,Fifties,Ducks,Fours,Sixes,2022_Team,2023_Team,Country
Dinesh Karthik,13,13,1,140,30,11.66,104,134.61,0,0,4,13,5,Royal Challengers Bangalore,Royal Challengers Bangalore,India
Sikandar Raza,7,7,2,139,57,27.8,98,141.83,0,1,0,10,6,Not in IPL,Punjab Kings,Zimbabwe
Mahipal Lomror,12,10,2,135,54*,16.87,97,139.17,0,1,1,9,8,Royal Challengers Bangalore,Royal Challengers Bangalore,India
Rashid Khan,17,9,5,130,79*,32.5,60,216.66,0,1,2,8,13,Gujarat Titans,Gujarat Titans,Afghanistan
Mitchell Marsh,9,9,0,128,63,14.22,97,131.95,0,1,2,11,7,Delhi Capitals,Delhi Capitals,Australia
Moeen Ali,15,10,3,124,23,17.71,91,136.26,0,0,0,12,6,Chennai Super Kings,Chennai Super Kings,England
Matthew Short,6,6,0,117,36,19.5,92,127.17,0,0,0,15,4,Not in IPL,Punjab Kings,Australia
Anirudha Manohar,9,6,0,114,42,19,83,137.34,0,0,0,6,7,Not in IPL,Gujarat Titans,India
Shardul Thakur,11,10,2,113,68,14.12,70,161.42,0,1,2,13,4,Delhi Capitals,Kolkata Knight Riders,India
Aman Hakim Khan,11,9,1,110,51,13.75,101,108.91,0,1,1,7,6,Not in IPL,Delhi Capitals,India
Prithvi Shaw,8,8,0,106,54,13.25,85,124.7,0,1,2,16,1,Delhi Capitals,Delhi Capitals,India
Anmolpreet Singh,4,4,0,105,36,26.25,82,128.04,0,0,0,15,2,Not in IPL,Sunrisers Hyderabad,India
MS Dhoni,16,12,8,104,32*,26,57,182.45,0,0,1,3,10,Chennai Super Kings,Chennai Super Kings,India
Prerak Mankad,5,5,2,93,64*,31,72,129.16,0,1,1,12,2,Not in IPL,Lucknow Super Giants,India
Anuj Rawat,9,7,4,91,29*,30.33,71,128.16,0,0,0,6,4,Royal Challengers Bangalore,Royal Challengers Bangalore,India
Narayan Jagadeesan,6,6,0,89,36,14.83,81,109.87,0,0,1,14,1,Not in IPL,Kolkata Knight Riders,India
Rahul Tewatia,17,10,6,87,20*,21.75,57,152.63,0,0,0,3,7,Gujarat Titans,Gujarat Titans,India
Deepak Hooda,12,12,1,84,17,7.63,90,93.33,0,0,0,3,2,Lucknow Super Giants,Lucknow Super Giants,India
Riyan Parag,7,7,1,78,20,13,66,118.18,0,0,0,4,5,Rajasthan Royals,Rajasthan Royals,India
Harpreet Singh,3,3,0,76,41,25.33,59,128.81,0,0,0,8,3,Not in IPL,Punjab Kings,India
Bhanuka Rajapaksa,4,4,1,71,50,23.66,62,114.51,0,1,1,6,2,Punjab Kings,Punjab Kings,Sri Lanka
Vivrant Sharma,3,1,0,69,69,69,47,146.8,0,1,0,9,2,Not in IPL,Sunrisers Hyderabad,India
Ravichandran Ashwin,13,10,4,67,30,11.16,51,131.37,0,0,2,5,3,Rajasthan Royals,Rajasthan Royals,India
Lalit Yadav,6,6,1,66,38,13.2,59,111.86,0,0,0,8,0,Delhi Capitals,Delhi Capitals,India
Krishnappa Gowtham,7,7,3,61,23,15.25,37,164.86,0,0,0,2,5,Lucknow Super Giants,Lucknow Super Giants,India
Washington Sundar,7,5,1,60,24*,15,60,100,0,0,0,6,0,Sunrisers Hyderabad,Sunrisers Hyderabad,India
Michael Bracewell,5,4,2,58,26,29,47,123.4,0,0,0,6,1,Not in IPL,Royal Challengers Bangalore,New Zealand
Shahbaz Ahmed ,4,4,0,53,30,13.25,62,85.48,0,0,0,4,1,Royal Challengers Bangalore,Royal Challengers Bangalore,India
